participant_id,Item,Verb,Noun,Task,Condition,RT_AJT,Response_AJT,Accuracy_AJT,Correct_AJT,RT_LJT,Response_LJT,Accuracy_LJT,Correct_LJT,Age,Handedness,Vision,LanguagePathology,L1,Fold,Status,Time_taken,Prolific_Age,Sex,Ethnicity_simplified,Country_of_birth,Country_of_residence,Nationality,Language,mAccuracy_AJT,mRT_AJT,mAccuracy_LJT,mRT_LJT,iAccuracy_AJT,iRT_AJT,iAccuracy_LJT,iRT_LJT,VerbFreq,NounFreq,CollFreq,Score,Usage,Verb_Senses,Noun_Senses,Item_PT,Is_Used_PT,Translation_PT,Item_ZH,Is_Used_ZH,Translation_ZH,Item_ML,Is_Used_ML,Translation_ML,Item_RU,Is_Used_RU,Translation_RU,NounConc,VerbConc,VerbItemSimilarity,item_match_key,verb,noun,noun_pl,type,noun_concreteness,snd3,snd10,snd25,snd50,avg_v_sim_to_item,avg_v_sim_to_item_10nouns,avg_v_sim_to_item_50nouns,verb_synset_len,logDice,collocation_freq
P011,abandon buildings,abandon,buildings,AJT,Productive,2117,y,1,y,1431,y,1,y,62,Right,Corrected (I wear contacts/glasses.),No,English,2,APPROVED,479,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,1.0,1098.35,1.0,1538.3,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P012,abandon buildings,abandon,buildings,AJT,Productive,1422,y,1,y,2672,y,1,y,57,Right,Corrected (I wear contacts/glasses.),No,English,2,APPROVED,428,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,0.95,1120.6,0.9,2020.65,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P013,abandon buildings,abandon,buildings,AJT,Productive,952,y,1,y,982,y,1,y,22,Right,Normal,No,English,2,APPROVED,310,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,0.95,875.65,0.8,1387.85,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P014,abandon buildings,abandon,buildings,AJT,Productive,991,y,1,y,1717,y,1,y,48,Right,Corrected (I wear contacts/glasses.),No,English,2,APPROVED,398,48,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,1.0,1213.5,0.95,1583.65,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P015,abandon buildings,abandon,buildings,AJT,Productive,1041,y,1,y,2441,y,1,y,38,Right,Corrected (I wear contacts/glasses.),No,English,2,APPROVED,615,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,1.0,1239.85,0.9,1534.6,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P016,abandon buildings,abandon,buildings,AJT,Productive,969,y,1,y,958,y,1,y,23,Right,Normal,No,English,2,APPROVED,777,22,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,0.6,1227.05,0.85,1134.2,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P017,abandon buildings,abandon,buildings,AJT,Productive,1098,y,1,y,1213,y,1,y,60,Right,Corrected (I wear contacts/glasses.),No,English,2,APPROVED,387,60,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,0.95,1271.15,0.85,1664.85,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P018,abandon buildings,abandon,buildings,AJT,Productive,1666,y,1,y,983,y,1,y,23,Right,Normal,No,English,2,APPROVED,401,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,1.0,1286.2,0.9,1579.65,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P019,abandon buildings,abandon,buildings,AJT,Productive,1415,y,1,y,2512,y,1,y,40,Right,Corrected (I wear contacts/glasses.),No,English,2,APPROVED,364,40,Female,White,United Arab Emirates,United Kingdom,United Kingdom,English,0.95,947.5,1.0,1277.6,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P020,abandon buildings,abandon,buildings,AJT,Productive,961,y,1,y,1945,y,1,y,30,Right,Corrected (I wear contacts/glasses.),No,English,2,APPROVED,235,30,Female,Other,United Kingdom,United Kingdom,United Kingdom,English,0.9,824.65,0.9,1087.75,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P021,abandon buildings,abandon,buildings,AJT,Productive,1912,y,1,y,4265,y,1,y,62,Right,Corrected (I wear contacts/glasses.),No,English,2,APPROVED,348,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,0.95,1114.55,1.0,1863.75,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P022,abandon buildings,abandon,buildings,AJT,Productive,733,y,1,y,654,n,0,y,22,Right,Corrected (I wear contacts/glasses.),No,English,2,APPROVED,339,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,0.6,834.05,0.65,1474.4,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P023,abandon buildings,abandon,buildings,AJT,Productive,1047,y,1,y,1256,y,1,y,46,Right,Normal,No,English,2,APPROVED,320,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,1.0,831.95,0.65,1877.35,1.0,1175.0,0.956521739130435,1719.47826086957,430978,214649,15935,7.17,abandoned buildings,5,4,abandonar predio,y,pr̩dio abandonado,<U+9057><U+5F03><U+623F><U+5C4B>,y,,kettidum ubekshikkuka,y,kettidumubekshikkuka,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,y,<U+0437><U+0430><U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+0437><U+0434><U+0430><U+043D><U+0438><U+0435>,4.64,2.54,0.91567188501358,abandon buildings,abandon,building,buildings,productive,4.64,193.2,298.76,338.74,361.38,0.9156718850135804,0.8341591358184814,0.8069016933441162,5,7.17,15935
P024,abandon projects,abandon,projects,AJT,Collocation,928,y,1,y,942,y,0,n,43,Right,Corrected (I wear contacts/glasses.),No,English,1,APPROVED,306,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,1.0,955.75,0.8,924.1,1.0,1182.30434782609,0.304347826086957,1974.65217391304,430978,214649,18018,6.46,project was abandoned,5,2,abandonar projeto,y,abandonar um projeto,<U+653E><U+5F03><U+9879><U+76EE>,y,,paddhadhi ubekshikkuka,y,paddhadhi ubekshikkuka,(<U+0437><U+0430>)<U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+043F><U+0440><U+043E><U+0435><U+043A><U+0442>,y,(<U+0437><U+0430>)<U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+043F><U+0440><U+043E><U+0435><U+043A><U+0442>,3.62,2.54,0.912418365478516,abandon projects,abandon,project,projects,collocation,3.62,170.17,284.97,344.87,374.52,0.9124183654785156,0.8056573271751404,0.7878472208976746,5,6.46,18018
P025,abandon projects,abandon,projects,AJT,Collocation,1130,y,1,y,2697,y,0,n,47,Right,Normal,No,English,1,APPROVED,360,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English,1.0,1304.9,0.85,2166.6,1.0,1182.30434782609,0.304347826086957,1974.65217391304,430978,214649,18018,6.46,project was abandoned,5,2,abandonar projeto,y,abandonar um projeto,<U+653E><U+5F03><U+9879><U+76EE>,y,,paddhadhi ubekshikkuka,y,paddhadhi ubekshikkuka,(<U+0437><U+0430>)<U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+043F><U+0440><U+043E><U+0435><U+043A><U+0442>,y,(<U+0437><U+0430>)<U+0431><U+0440><U+043E><U+0441><U+0438><U+0442><U+044C> <U+043F><U+0440><U+043E><U+0435><U+043A><U+0442>,3.62,2.54,0.912418365478516,abandon projects,abandon,project,projects,collocation,3.62,170.17,284.97,344.87,374.52,0.9124183654785156,0.8056573271751404,0.7878472208976746,5,6.46,18018
